time,duration_time,task-clock,benchmark,socket,core_list
0.050124196,50124196.0,2337.59,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.114017197,63893001.0,3780.87,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.209130337,95113140.0,2952.23,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.281470982,72340645.0,2505.95,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.341532709,60061727.0,2352.69,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.40142572,59893011.0,2336.91,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.459450954,58025234.0,2275.48,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.515374987,55924033.0,2196.95,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.569417822,54042835.0,2236.42,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.626889651,57471829.0,2259.37,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.68248553,55595879.0,2215.09,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.738353979,55868449.0,2224.46,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.79317314,54819161.0,2200.74,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.848370185,55197045.0,2205.34,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.90341938,55049195.0,2205.43,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.958623157,55203777.0,2267.49,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.019477329,60854172.0,2312.84,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.07184197,52364641.0,2094.53,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.124243093,52401123.0,2098.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.176694121,52451028.0,2099.02,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.229262603,52568482.0,2222.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.285275629,56013026.0,2211.3,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.340377023,55101394.0,2248.34,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.397433645,57056622.0,2317.54,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.457407855,59974210.0,2320.95,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.514096398,56688543.0,2218.32,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.568583583,54487185.0,2179.82,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.623060301,54476718.0,2180.64,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.677587084,54526783.0,2180.54,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.732129168,54542084.0,2180.98,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.786638521,54509353.0,2180.88,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.841168221,54529700.0,2183.59,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.895777291,54609070.0,2164.01,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.949438895,53661604.0,5207.91,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.105428139,155989244.0,3352.3,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.165509513,60081374.0,2323.11,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.223474702,57965189.0,2243.82,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.278047559,54572857.0,2182.26,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.332620528,54572969.0,2182.37,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.387134429,54513901.0,2178.15,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.441533513,54399084.0,2185.83,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.496647787,55114274.0,2189.09,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.550835567,54187780.0,2178.36,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.605764863,54929296.0,2189.7,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.660036063,54271200.0,2177.96,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.714662056,54625993.0,2184.31,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.769249352,54587296.0,2184.83,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.823888184,54638832.0,2184.98,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.878495059,54606875.0,2185.11,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.933163787,54668728.0,2185.08,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2.987741709,54577922.0,2164.2,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
3.015786467,28044758.0,1108.65,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
